,WCSGNet,WCSGNet(LWT),WCSGNet(UWA)
CD4_C01-CCR7   ,0.77951,0.823137,0.80786
CD4_C02-ANXA1,0.783525,0.802337,0.81386
CD4_C03-GNLY,0.85625,0.87574,0.86567
CD4_C04-TCF7,0.677812,0.704142,0.71364
CD4_C05-CXCR6,0.767719,0.788321,0.79849
CD4_C06-CXCR5,0.796069,0.821002,0.80465
CD4_C07-GZMK,0.707447,0.773684,0.74742
CD4_C08-IL23R,0.704036,0.724444,0.73799
CD4_C09-CXCL13,0.845173,0.855596,0.85559
CD4_C10-FOXP3,0.826265,0.836066,0.84782
CD4_C11-IL10,0.604905,0.595376,0.61363
CD4_C12-CTLA4,0.952674,0.952454,0.95409
CD8_C01-LEF1,0.848684,0.928793,0.91823
CD8_C02-GPR183,0.603896,0.729642,0.72381
CD8_C03-CX3CR1,0.908269,0.915851,0.92258
CD8_C04-GZMK,0.794366,0.815112,0.81855
CD8_C05-CD6,0.785877,0.826727,0.82959
CD8_C06-CD160,0.87172,0.885007,0.89181
CD8_C07-LAYN,0.899329,0.908218,0.90963
CD8_C08-SLC4A10,0.431373,0.578947,0.61666
